mvcUrl, UNIDENTIFIED-TYPE, 921, 7, 4.3 Web Improvements, null, @null
ResponseEntity, CLASS/INTERFACE, 924, 1, 4.3 Web Improvements, org.springframework.http.ResponseEntity, @null
ResponseEntity.ok(), METHOD, 925, 56, 4.3 Web Improvements, org.springframework.http.ResponseEntity.ok(), @null
RequestEntity, CLASS/INTERFACE, 927, 1, 4.3 Web Improvements, org.springframework.http.RequestEntity, @null
GroovyMarkupConfigurer, CLASS/INTERFACE, 946, 40, 4.3 Web Improvements, org.springframework.web.servlet.view.groovy.GroovyMarkupConfigurer, @null
ViewResolver, CLASS/INTERFACE, 947, 1, 4.3 Web Improvements, org.springframework.web.servlet.mvc.method.annotation.ServletAnnotationControllerHandlerMethodTests.TestViewResolver, @null
SockJsClient, CLASS/INTERFACE, 952, 40, 4.4 WebSocket Messaging Improvements, org.springframework.web.socket.sockjs.client.SockJsClient, @null
SessionSubscribeEvent, CLASS/INTERFACE, 954, 32, 4.4 WebSocket Messaging Improvements, org.springframework.web.socket.messaging.SessionSubscribeEvent, @null
SessionUnsubscribeEvent, CLASS/INTERFACE, 954, 87, 4.4 WebSocket Messaging Improvements, org.springframework.web.socket.messaging.SessionUnsubscribeEvent, @null
MessageHeaderAccessor, CLASS/INTERFACE, 971, 1, 4.4 WebSocket Messaging Improvements, org.springframework.messaging.support.MessageHeaderAccessor, @null
ApplicationContext, CLASS/INTERFACE, 979, 68, 4.5 Testing Improvements, org.springframework.context.ApplicationContext, @null
TestTransaction, CLASS/INTERFACE, 986, 40, 4.5 Testing Improvements, org.springframework.test.context.transaction.TestTransaction, @null
TestExecutionListener, CLASS/INTERFACE, 1003, 28, 4.5 Testing Improvements, org.springframework.test.context.TestExecutionListenersTests.BazTestExecutionListener, @null
TestExecutionListener, CLASS/INTERFACE, 1008, 27, 4.5 Testing Improvements, org.springframework.test.context.TestExecutionListenersTests.BazTestExecutionListener, @null
MockServletContext, CLASS/INTERFACE, 1020, 25, 4.5 Testing Improvements, org.springframework.mock.web.test.MockServletContext, @null
MockHttpServletRequest, CLASS/INTERFACE, 1020, 74, 4.5 Testing Improvements, org.springframework.mock.web.test.MockHttpServletRequest, @null
AssertThrows, CLASS/INTERFACE, 1023, 1, 4.5 Testing Improvements, null, @null
Throwable, CLASS/INTERFACE, 1023, 74, 4.5 Testing Improvements, null, @null
Exception, CLASS/INTERFACE, 1023, 124, 4.5 Testing Improvements, org.springframework.messaging.simp.annotation.support.MissingSessionUserException, @null
MockMvcBuilder, CLASS/INTERFACE, 1029, 1, 4.5 Testing Improvements, org.springframework.test.web.servlet.setup.DefaultMockMvcBuilder, @null
MockMvcConfigurer, CLASS/INTERFACE, 1029, 128, 4.5 Testing Improvements, org.springframework.test.web.servlet.setup.MockMvcConfigurer, @null
MockRestServiceServer, CLASS/INTERFACE, 1033, 1, 4.5 Testing Improvements, org.springframework.test.web.client.MockRestServiceServer, @null
AsyncRestTemplate, CLASS/INTERFACE, 1033, 69, 4.5 Testing Improvements, org.springframework.web.client.AsyncRestTemplate, @null
value, UNIDENTIFIED-TYPE, 1066, 50, 5.1 Core Container Improvements, null, @null
spring(), METHOD, 1077, 93, 5.1 Core Container Improvements, null, @null
value, UNIDENTIFIED-TYPE, 1094, 1, 5.1 Core Container Improvements, null, @null
AnnotationAttributes, CLASS/INTERFACE, 1119, 46, 5.1 Core Container Improvements, org.springframework.core.annotation.AnnotationAttributes, @null
DirectFieldAccessor, CLASS/INTERFACE, 1122, 43, 5.1 Core Container Improvements, org.springframework.beans.DirectFieldAccessor, @null
BeanWrapper, CLASS/INTERFACE, 1123, 30, 5.1 Core Container Improvements, org.springframework.beans.BeanWrapper, @null
DefaultConversionService, CLASS/INTERFACE, 1126, 1, 5.1 Core Container Improvements, org.springframework.core.convert.support.DefaultConversionService, @null
Stream, CLASS/INTERFACE, 1126, 98, 5.1 Core Container Improvements, org.springframework.mock.web.test.DelegatingServletOutputStream, @null
Charset, CLASS/INTERFACE, 1126, 135, 5.1 Core Container Improvements, null, @null
Currency, CLASS/INTERFACE, 1127, 1, 5.1 Core Container Improvements, null, @null
TimeZone, CLASS/INTERFACE, 1127, 44, 5.1 Core Container Improvements, null, @null
ConversionService, CLASS/INTERFACE, 1128, 1, 5.1 Core Container Improvements, org.springframework.core.convert.support.DefaultConversionService, @null
DefaultFormattingConversionService, CLASS/INTERFACE, 1130, 1, 5.1 Core Container Improvements, org.springframework.format.support.DefaultFormattingConversionService, @null
MonetaryAmount, CLASS/INTERFACE, 1132, 1, 5.1 Core Container Improvements, null, @null
CurrencyUnit, CLASS/INTERFACE, 1132, 49, 5.1 Core Container Improvements, null, @null
JavaMailSenderImpl, CLASS/INTERFACE, 1136, 1, 5.1 Core Container Improvements, org.springframework.mail.javamail.JavaMailSenderImpl, @null
testConnection(), METHOD, 1136, 59, 5.1 Core Container Improvements, org.springframework.mail.javamail.JavaMailSenderImpl.testConnection(), @null
ScheduledTaskRegistrar, CLASS/INTERFACE, 1138, 1, 5.1 Core Container Improvements, org.springframework.scheduling.annotation.EnableSchedulingTests.SchedulingEnabled_withAmbiguousTaskSchedulers_andSingleTask_disambiguatedByScheduledTaskRegistrar, @null
commons(), METHOD, 1140, 8, 5.1 Core Container Improvements, null, @null
CommonsPool2TargetSource, CLASS/INTERFACE, 1140, 86, 5.1 Core Container Improvements, org.springframework.aop.target.CommonsPool2TargetSource, @null
StandardScriptFactory, CLASS/INTERFACE, 1142, 12, 5.1 Core Container Improvements, org.springframework.scripting.support.StandardScriptFactory, @null
javax.transaction.Transactional, PACKAGE, 1149, 1, 5.2 Data Access Improvements, org.springframework.transaction.annotation.Transactional, @null
SimpleJdbcCallOperations, CLASS/INTERFACE, 1151, 1, 5.2 Data Access Improvements, org.springframework.jdbc.core.simple.SimpleJdbcCallOperations, @null
org.springframework.orm.hibernate5, PACKAGE, 1154, 44, 5.2 Data Access Improvements, null, @null
database(), METHOD, 1157, 76, 5.2 Data Access Improvements, null, @null
autoStartup, UNIDENTIFIED-TYPE, 1163, 5, 5.3 JMS Improvements, null, @null
JmsListenerContainerFactory, CLASS/INTERFACE, 1163, 78, 5.3 JMS Improvements, org.springframework.jms.config.JmsListenerContainerFactory, @null
Destination, CLASS/INTERFACE, 1165, 23, 5.3 JMS Improvements, null, @null
JmsResponse, CLASS/INTERFACE, 1169, 146, 5.3 JMS Improvements, org.springframework.jms.listener.adapter.JmsResponse, @null
CacheControl, CLASS/INTERFACE, 1184, 5, 5.4 Web Improvements, org.springframework.http.CacheControl, @null
