getFreeSpace(), METHOD, 17320, 14, 1, java.io.File.getFreeSpace(), @null
IOException, CLASS/INTERFACE, 17327, 10, 1, java.io.IOException, @null
delete(), METHOD, 17338, 48, 1, java.io.File.delete(), @null
Context, CLASS/INTERFACE, 17344, 67, 1, android.content.Context, @null
deleteFile(), METHOD, 17345, 26, 1, android.content.Context.deleteFile(java.lang.String), @null
getExternalFilesDir(), METHOD, 17356, 51, 1, android.content.Context.getExternalFilesDir(java.lang.String), @null
getCacheDir(), METHOD, 17359, 1, 1, android.content.Context.getCacheDir(), @null
android.database.sqlite, PACKAGE, 18276, 34, 1, android.database.sqlite.package-summary, @null
BaseColumns, CLASS/INTERFACE, 18296, 60, 1, android.provider.BaseColumns, @null
SQLiteOpenHelper, CLASS/INTERFACE, 18351, 45, 1, android.database.sqlite.SQLiteOpenHelper, @null
getWritableDatabase(), METHOD, 18356, 1, 1, android.database.sqlite.SQLiteOpenHelper.getWritableDatabase(), @null
getReadableDatabase(), METHOD, 18357, 1, 1, android.database.sqlite.SQLiteOpenHelper.getReadableDatabase(), @null
getWritableDatabase(), METHOD, 18360, 23, 1, android.database.sqlite.SQLiteOpenHelper.getWritableDatabase(), @null
getReadableDatabase(), METHOD, 18360, 183, 1, android.database.sqlite.SQLiteOpenHelper.getReadableDatabase(), @null
AsyncTask, CLASS/INTERFACE, 18361, 14, 1, android.os.AsyncTask, @null
IntentService, CLASS/INTERFACE, 18361, 120, 1, android.app.IntentService, @null
SQLiteOpenHelper, CLASS/INTERFACE, 18363, 11, 1, android.database.sqlite.SQLiteOpenHelper, @null
onCreate(), METHOD, 18364, 15, 1, android.database.sqlite.SQLiteOpenHelper.onCreate(android.database.sqlite.SQLiteDatabase), @null
onUpgrade(), METHOD, 18364, 189, 1, android.database.sqlite.SQLiteOpenHelper.onUpgrade(android.database.sqlite.SQLiteDatabase, int, int), @null
onOpen(), METHOD, 18364, 378, 1, android.database.sqlite.SQLiteOpenHelper.onOpen(android.database.sqlite.SQLiteDatabase), @null
onDowngrade(), METHOD, 18365, 19, 1, android.database.sqlite.SQLiteOpenHelper.onDowngrade(android.database.sqlite.SQLiteDatabase, int, int), @null
SQLiteOpenHelper, CLASS/INTERFACE, 18368, 45, 1, android.database.sqlite.SQLiteOpenHelper, @null
SQLiteOpenHelper, CLASS/INTERFACE, 18394, 58, 1, android.database.sqlite.SQLiteOpenHelper, @null
ContentValues, CLASS/INTERFACE, 18405, 47, 1, android.content.ContentValues, @null
insert(), METHOD, 18406, 15, 1, android.database.sqlite.SQLiteDatabase.insert(java.lang.String, java.lang.String, android.content.ContentValues), @null
insert(), METHOD, 18426, 27, 1, android.database.sqlite.SQLiteDatabase.insert(java.lang.String, java.lang.String, android.content.ContentValues), @null
ContentValues, CLASS/INTERFACE, 18429, 1, 1, android.content.ContentValues, @null
query(), METHOD, 18437, 37, 1, android.database.sqlite.SQLiteDatabase.query(boolean, java.lang.String, java.lang.String[], java.lang.String, java.lang.String[], java.lang.String, java.lang.String, java.lang.String, java.lang.String), @null
insert(), METHOD, 18439, 33, 1, android.database.sqlite.SQLiteDatabase.insert(java.lang.String, java.lang.String, android.content.ContentValues), @null
update(), METHOD, 18440, 5, 1, android.database.sqlite.SQLiteDatabase.update(java.lang.String, android.content.ContentValues, java.lang.String, java.lang.String[]), @null
Cursor, CLASS/INTERFACE, 18442, 26, 1, android.database.Cursor, @null
Cursor, CLASS/INTERFACE, 18471, 51, 1, android.database.Cursor, @null
moveToFirst(), METHOD, 18473, 12, 1, android.database.Cursor.moveToFirst(), @null
Cursor, CLASS/INTERFACE, 18475, 1, 1, android.database.Cursor, @null
getString(), METHOD, 18475, 125, 1, android.database.Cursor.getString(int), @null
getLong(), METHOD, 18475, 251, 1, android.database.Cursor.getLong(int), @null
getColumnIndex(), METHOD, 18477, 1, 1, android.database.Cursor.getColumnIndex(java.lang.String), @null
getColumnIndexOrThrow(), METHOD, 18478, 1, 1, android.database.Cursor.getColumnIndexOrThrow(java.lang.String), @null
update(), METHOD, 18515, 70, 1, android.database.sqlite.SQLiteDatabase.update(java.lang.String, android.content.ContentValues, java.lang.String, java.lang.String[]), @null
insert(), METHOD, 18517, 61, 1, android.database.sqlite.SQLiteDatabase.insert(java.lang.String, java.lang.String, android.content.ContentValues), @null
delete(), METHOD, 18518, 4, 1, android.database.sqlite.SQLiteDatabase.delete(java.lang.String, java.lang.String, java.lang.String[]), @null
Intent, CLASS/INTERFACE, 19444, 69, 1, android.content.Intent, @null
Intent, CLASS/INTERFACE, 19445, 1, 1, android.content.Intent, @null
startActivity(), METHOD, 19445, 139, 1, android.app.Activity.startActivity(android.content.Intent), @null
Intent, CLASS/INTERFACE, 19445, 307, 1, android.content.Intent, @null
Intent, CLASS/INTERFACE, 19448, 7, 1, android.content.Intent, @null
Activity, CLASS/INTERFACE, 19449, 13, 1, android.app.Activity, @null
Intent, CLASS/INTERFACE, 19452, 39, 1, android.content.Intent, @null
Intent, CLASS/INTERFACE, 20370, 10, 1, android.content.Intent, @null
Uri, CLASS/INTERFACE, 20390, 65, 1, android.net.Uri, @null
Uri, CLASS/INTERFACE, 20393, 22, 1, android.net.Uri, @null
Intent(), METHOD, 20393, 132, 1, android.content.Intent.Intent(java.lang.String, android.net.Uri), @null
Uri, CLASS/INTERFACE, 20396, 83, 1, android.net.Uri, @null
startActivity(), METHOD, 20403, 49, 1, android.app.Activity.startActivity(android.content.Intent), @null
Uri, CLASS/INTERFACE, 20405, 57, 1, android.net.Uri, @null
putExtra(), METHOD, 20427, 82, 1, android.content.Intent.putExtra(java.lang.String, java.lang.String), @null
Uri, CLASS/INTERFACE, 20430, 1, 1, android.net.Uri, @null
Uri, CLASS/INTERFACE, 20430, 138, 1, android.net.Uri, @null
setType(), METHOD, 20431, 32, 1, android.content.Intent.setType(java.lang.String), @null
Intent, CLASS/INTERFACE, 20465, 76, 1, android.content.Intent, @null
ACTION_VIEW, CLASS/INTERFACE, 20466, 11, 1, android.content.Intent.ACTION_VIEW, @null
queryIntentActivities(), METHOD, 20481, 82, 1, android.content.pm.PackageManager.queryIntentActivities(android.content.Intent, int), @null
Intent, CLASS/INTERFACE, 20482, 40, 1, android.content.Intent, @null
List, CLASS/INTERFACE, 20482, 159, 1, java.util.List, @null
getPackageManager(), METHOD, 20485, 33, 1, android.content.Context.getPackageManager(), @null
Intent, CLASS/INTERFACE, 20510, 31, 1, android.content.Intent, @null
startActivity(), METHOD, 20510, 162, 1, android.app.Activity.startActivity(android.content.Intent), @null
getPackageManager(), METHOD, 20528, 33, 1, android.content.Context.getPackageManager(), @null
Intent, CLASS/INTERFACE, 20547, 59, 1, android.content.Intent, @null
startActivity(), METHOD, 20547, 164, 1, android.app.Activity.startActivity(android.content.Intent), @null
