org.apache.http.client.protocol.RequestClientConnControl, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
org.apache.http.client.protocol.RequestDefaultHeaders, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.protocol.RequestAddCookies, @stereotype BOUNDARY COMMANDER@stereotype BOUNDARY COMMANDER
org.apache.http.client.protocol.RequestAcceptEncoding, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.RedirectStrategy, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.CookieStore, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.params.HttpClientParamConfig, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.params.ClientPNames, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.params.AllClientPNames, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.HttpResponseException, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.client.utils.URIBuilder, @stereotype @stereotype 
org.apache.http.client.utils.URLEncodedUtils, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.utils.HttpClientUtils, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.utils.DateUtils, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.utils.URIUtils, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.NonRepeatableRequestException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.methods.Configurable, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.methods.HttpRequestWrapper, @stereotype @stereotype 
org.apache.http.client.methods.HttpPost, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.HttpGet, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.HttpOptions, @stereotype BOUNDARY@stereotype BOUNDARY
org.apache.http.client.methods.HttpEntityEnclosingRequestBase, @stereotype @stereotype 
org.apache.http.client.methods.AbstractExecutionAwareRequest, @stereotype ENTITY@stereotype ENTITY
org.apache.http.client.methods.HttpRequestBase, @stereotype @stereotype 
org.apache.http.client.methods.AbortableHttpRequest, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.methods.HttpPut, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.HttpTrace, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.HttpHead, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.HttpPatch, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.HttpUriRequest, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.methods.HttpDelete, @stereotype DATA_CLASS@stereotype DATA_CLASS
org.apache.http.client.methods.CloseableHttpResponse, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.methods.RequestBuilder, @stereotype @stereotype 
org.apache.http.client.methods.HttpExecutionAware, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.RedirectException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.ServiceUnavailableRetryStrategy, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.BackoffManager, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.entity.DeflateDecompressingEntity, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.entity.LazyDecompressingInputStream, @stereotype ENTITY@stereotype ENTITY
